date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:53	89351/89351	---M--	200	added ('OK')	image/jpeg	etag:%2298608c33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/oklahoma-hall/lobby1.jpg	./www.swosu.edu/administration/reslife/images/oklahoma-hall/lobby1.jpg	(from http://www.swosu.edu/administration/reslife/oklahoma/oklahoma-pics.aspx)
11:21:56	77241/77241	---M--	200	added ('OK')	image/jpeg	etag:%224c28e33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/oklahoma-hall/lobby3.jpg	./www.swosu.edu/administration/reslife/images/oklahoma-hall/lobby3.jpg	(from http://www.swosu.edu/administration/reslife/oklahoma/oklahoma-pics.aspx)
11:22:02	49875/49875	---M--	200	added ('OK')	image/jpeg	etag:%22543c8533d188d31:0%22	http://www.swosu.edu/administration/reslife/images/oklahoma-hall/lobby4.jpg	./www.swosu.edu/administration/reslife/images/oklahoma-hall/lobby4.jpg	(from http://www.swosu.edu/administration/reslife/oklahoma/oklahoma-pics.aspx)
11:22:05	47161/47161	---M--	200	added ('OK')	image/jpeg	etag:%2210187e33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/oklahoma-hall/oklahoma-dorm.jpg	./www.swosu.edu/administration/reslife/images/oklahoma-hall/oklahoma-dorm.jpg	(from http://www.swosu.edu/administration/reslife/oklahoma/oklahoma-pics.aspx)
11:22:05	66862/66862	---M--	200	added ('OK')	image/jpeg	etag:%224c28e33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/oklahoma-hall/lobby5.jpg	./www.swosu.edu/administration/reslife/images/oklahoma-hall/lobby5.jpg	(from http://www.swosu.edu/administration/reslife/oklahoma/oklahoma-pics.aspx)
11:22:11	20789/20789	---M--	200	added ('OK')	image/jpeg	etag:%22f86b9f33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/hall-directors/korutney-skinner.jpg	./www.swosu.edu/administration/reslife/images/hall-directors/korutney-skinner.jpg	(from http://www.swosu.edu/administration/reslife/stewart/staff.aspx)
11:22:13	54660/54660	---M--	200	added ('OK')	image/jpeg	etag:%22dc849333d188d31:0%22	http://www.swosu.edu/administration/reslife/images/oklahoma-hall/oklahoma-dorm-2.jpg	./www.swosu.edu/administration/reslife/images/oklahoma-hall/oklahoma-dorm-2.jpg	(from http://www.swosu.edu/administration/reslife/oklahoma/oklahoma-pics.aspx)
11:22:17	20980/20980	---M--	200	added ('OK')	image/jpeg	etag:%22b0b1d232d188d31:0%22	http://www.swosu.edu/administration/reslife/images/stewart-hall/1st-floor-stewart-hall.jpg	./www.swosu.edu/administration/reslife/images/stewart-hall/1st-floor-stewart-hall.jpg	(from http://www.swosu.edu/administration/reslife/stewart/floor-plans.aspx)
11:22:19	20224/20224	---M--	200	added ('OK')	image/jpeg	etag:%226037dc32d188d31:0%22	http://www.swosu.edu/administration/reslife/images/stewart-hall/2nd-floor-stewart-hall.jpg	./www.swosu.edu/administration/reslife/images/stewart-hall/2nd-floor-stewart-hall.jpg	(from http://www.swosu.edu/administration/reslife/stewart/floor-plans.aspx)
11:22:21	55037/55037	---M--	200	added ('OK')	image/jpeg	etag:%228ca9d33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/hall-directors/stewart-staff.jpg	./www.swosu.edu/administration/reslife/images/hall-directors/stewart-staff.jpg	(from http://www.swosu.edu/administration/reslife/stewart/staff.aspx)
11:22:24	22870/22870	---M--	200	added ('OK')	image/jpeg	etag:%221c13d532d188d31:0%22	http://www.swosu.edu/administration/reslife/images/stewart-hall/3rd-floor-stewart-hall.jpg	./www.swosu.edu/administration/reslife/images/stewart-hall/3rd-floor-stewart-hall.jpg	(from http://www.swosu.edu/administration/reslife/stewart/floor-plans.aspx)
11:22:25	17870/17870	---M--	200	added ('OK')	image/jpeg	etag:%2202cc932d188d31:0%22	http://www.swosu.edu/administration/reslife/images/stewart-hall/1.jpg	./www.swosu.edu/administration/reslife/images/stewart-hall/1.jpg	(from http://www.swosu.edu/administration/reslife/stewart/stewart-pics.aspx)
11:22:25	12004/12004	---M--	200	added ('OK')	image/jpeg	etag:%22f4d5d932d188d31:0%22	http://www.swosu.edu/administration/reslife/images/stewart-hall/2.jpg	./www.swosu.edu/administration/reslife/images/stewart-hall/2.jpg	(from http://www.swosu.edu/administration/reslife/stewart/stewart-pics.aspx)
11:22:27	17666/17666	---M--	200	added ('OK')	image/jpeg	etag:%221c13d532d188d31:0%22	http://www.swosu.edu/administration/reslife/images/stewart-hall/3.jpg	./www.swosu.edu/administration/reslife/images/stewart-hall/3.jpg	(from http://www.swosu.edu/administration/reslife/stewart/stewart-pics.aspx)
11:22:31	14246/14246	---M--	200	added ('OK')	image/jpeg	etag:%22d8eecd32d188d31:0%22	http://www.swosu.edu/administration/reslife/images/stewart-hall/4.jpg	./www.swosu.edu/administration/reslife/images/stewart-hall/4.jpg	(from http://www.swosu.edu/administration/reslife/stewart/stewart-pics.aspx)
11:22:31	11351/11351	---M--	200	added ('OK')	image/jpeg	etag:%22d8eecd32d188d31:0%22	http://www.swosu.edu/administration/reslife/images/stewart-hall/5.jpg	./www.swosu.edu/administration/reslife/images/stewart-hall/5.jpg	(from http://www.swosu.edu/administration/reslife/stewart/stewart-pics.aspx)
11:22:33	8414/8414	---M--	200	added ('OK')	image/jpeg	etag:%228874d732d188d31:0%22	http://www.swosu.edu/administration/reslife/images/stewart-hall/6.jpg	./www.swosu.edu/administration/reslife/images/stewart-hall/6.jpg	(from http://www.swosu.edu/administration/reslife/stewart/stewart-pics.aspx)
11:22:35	8880/8880	---M--	200	added ('OK')	image/jpeg	etag:%226c8dcb32d188d31:0%22	http://www.swosu.edu/administration/reslife/images/stewart-hall/7.jpg	./www.swosu.edu/administration/reslife/images/stewart-hall/7.jpg	(from http://www.swosu.edu/administration/reslife/stewart/stewart-pics.aspx)
11:22:35	979517/979517	---M--	200	added ('OK')	application/pdf	etag:%22d8ff9634d188d31:0%22	http://www.swosu.edu/administration/reslife/docs/tailgate-brochure-a.pdf	./www.swosu.edu/administration/reslife/docs/tailgate-brochure-a.pdf	(from http://www.swosu.edu/administration/reslife/events-programs.aspx)
11:22:37	15782/15782	---M--	200	added ('OK')	image/jpeg	etag:%222869c432d188d31:0%22	http://www.swosu.edu/administration/reslife/images/apartments/large-floor-plan.jpg	./www.swosu.edu/administration/reslife/images/apartments/large-floor-plan.jpg	(from http://www.swosu.edu/administration/reslife/apartments/floor-plans.aspx)
11:22:39	18732/18732	---M--	200	added ('OK')	image/jpeg	etag:%22e444bd32d188d31:0%22	http://www.swosu.edu/administration/reslife/images/apartments/small-floor-plan.jpg	./www.swosu.edu/administration/reslife/images/apartments/small-floor-plan.jpg	(from http://www.swosu.edu/administration/reslife/apartments/floor-plans.aspx)
